[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[AV Mankad (INDIA), 44, 72.13, 44.000, 0.00000]
[RD McCann (IRE), 11, 57.14, 8.800, 0.00000]
[BP Patterson (WI), 8.8, 43.56, 2.200, 0.00000]
[RH Poonawala (UAE), 22, 78.57, 22.000, 0.00000]
[S Sreesanth (INDIA), 4, 36.36, 2.095, 0.00000]
[JH Stander (SCOT), 11, 58.66, 8.800, 0.00000]
[HR Bryan (WI), 7.16, 60.56, 5.375, 0.00000]
[Faisal Hossain (BDESH), 10.75, 47.25, 8.600, 0.00000]
[KHRK Fernando (SL), 21.5, 59.72, 8.600, 0.00000]
[AR Kapoor (INDIA), 7.16, 68.25, 7.167, 0.00000]
[A Mishra (INDIA), 5.37, 52.43, 3.909, 0.00000]
[Salman Faris (UAE), 14.33, 54.43, 14.333, 0.00000]
[WN Slack (ENG), 21.5, 50.58, 21.500, 0.00000]
[GB Stevenson (ENG), 43, 76.78, 10.750, 0.00000]
[SJ Swanepoel (NAM), 8.6, 45.74, 8.600, 0.00000]
[Anwar Hossain (BDESH), 42, 39.25, 42.000, 0.00000]
[Azmat Rana (PAK), 42, 57.53, 21.000, 0.00000]
[MJ Fourie (IRE), 21, 82.35, 8.400, 0.00000]
[GJ Gilmour (AUS), 42, 107.69, 21.000, 0.00000]
[JN Maguire (AUS), 7, 59.15, 3.818, 0.00000]
[JL Pattinson (AUS), 10.5, 52.5, 5.250, 0.00000]
[MH Richardson (NZ), 10.5, 43.29, 10.500, 0.00000]
[Shaheen Shah Afridi (PAK), 21, 65.62, 5.250, 0.00000]
[JS Foster (ENG), 13.66, 57.74, 6.833, 0.00000]
[SP Heaney (CAN), 10.25, 44.56, 10.250, 0.00000]
[PA Hitchcock (NZ), 10.25, 67.21, 5.857, 0.00000]
[Mehmood Quaraishy (EAf), 20.5, 26.62, 13.667, 0.00000]
[WP Saha (INDIA), 13.66, 73.21, 8.200, 0.00000]
[Shafiq Ahmed (PAK), 13.66, 45.05, 13.667, 0.00000]
[Taskin Ahmed (BDESH), 4.1, 41.41, 2.563, 0.00000]
[SR Welsh (CAN), 20.5, 52.56, 13.667, 0.00000]
[Bilal Asif (PAK), 13.33, 81.63, 13.333, 0.00000]
[PC Connell (IRE), 20, 54.79, 8.000, 0.00000]
[DR Hadlee (NZ), 8, 47.05, 5.714, 0.00000]
[Khaliq Dad (AFG), 13.33, 57.97, 10.000, 0.00000]
[S Lamichhane (NEPAL), 10, 57.97, 8.000, 0.00000]
[PS Masvaure (ZIM), 20, 66.66, 20.000, 0.00000]
[Mohammad Nadeem (OMAN), 20, 44.94, 13.333, 0.00000]
[ML Patel (KENYA), 13.33, 42.1, 13.333, 0.00000]
[SJ Rixon (AUS), 13.33, 40.81, 6.667, 0.00000]
[DJ ter Braak (NL), 20, 42.55, 20.000, 0.00000]
[MR Whitney (AUS), 6.66, 44.44, 3.077, 0.00000]
[GA Briant (ZIM), 13, 56.52, 7.800, 0.00000]
[YS Chahal (INDIA), 7.8, 54.16, 4.875, 0.00000]
[SS Das (INDIA), 13, 50.64, 9.750, 0.00000]
[KSC de Silva (SL), 6.5, 42.39, 2.053, 0.00000]
[DR Gilbert (AUS), 7.8, 38.23, 4.875, 0.00000]
[Iqbal Qasim (PAK), 6.5, 43.33, 5.571, 0.00000]
[BA King (WI), 39, 69.64, 39.000, 0.00000]
[N Kruger (NL), 19.5, 52, 19.500, 0.00000]
[GD Lloyd (ENG), 9.75, 48.75, 7.800, 0.00000]
[TBA May (AUS), 9.75, 75, 3.250, 0.00000]
[LS Pascoe (AUS), 9.75, 38.23, 3.545, 0.00000]
[Ramveer Rai (UAE), 39, 31.45, 39.000, 0.00000]
[RH Scholte (NL), 7.8, 28.88, 7.800, 0.00000]
[A Shahzad (ENG), 6.5, 65, 4.875, 0.00000]
[SN Thakur (INDIA), 39, 177.27, 13.000, 0.00000]
[Zulfiqar Ali (EAf), 19.5, 51.31, 13.000, 0.00000]
[JT Ball (ENG), 9.5, 77.55, 6.333, 0.00000]
[CJD Chappell (CAN), 12.66, 26.57, 12.667, 0.00000]
[PP Chawla (INDIA), 5.42, 65.51, 3.167, 0.00000]
[CKB Kulasekara (SL), 12.66, 52.77, 12.667, 0.00000]
[PJ Martin (ENG), 6.33, 71.69, 2.923, 0.00000]
[Mohammad Aslam (UAE), 9.5, 52.05, 9.500, 0.00000]
[N M'shangwe (ZIM), 7.6, 84.44, 6.333, 0.00000]
[SS Naik (INDIA), 19, 55.88, 19.000, 0.00000]
[Najeeb Amar (HKG), 12.66, 59.37, 9.500, 0.00000]
[GH O'Brien (BMUDA), 5.42, 70.37, 5.429, 0.00000]
[CAH Stevenson (USA), 12.66, 86.36, 9.500, 0.00000]
[S Walusimbi (EAf), 12.66, 30.15, 12.667, 0.00000]
[PN Webb (NZ), 9.5, 37.62, 7.600, 0.00000]
[Zeeshan Maqsood (OMAN), 9.5, 51.35, 7.600, 0.00000]
[JR Hazlewood (AUS), 18.5, 64.91, 2.846, 0.00000]
[MP Jarvis (ZIM), 18.5, 55.22, 7.400, 0.00000]
[TS Kamunhukamwe (ZIM), 12.33, 74, 12.333, 0.00000]
[TS Roland-Jones (ENG), 0, 100, 37.000, 0.00000]
[Saiful Islam (BDESH), 18.5, 62.71, 9.250, 0.00000]
[Shahid Anwar (PAK), 37, 84.09, 37.000, 0.00000]
[DJ White (NZ), 12.33, 38.14, 12.333, 0.00000]
[Ankur Vasishta (HKG), 12, 52.17, 9.000, 0.00000]
[M Bhanuka (SL), 36, 92.3, 36.000, 0.00000]
[PW Gunaratne (SL), 7.2, 57.14, 4.500, 0.00000]
[MF Malone (AUS), 9, 57.14, 5.143, 0.00000]
[G Mylvaganam (UAE), 12, 39.13, 12.000, 0.00000]
[AR Pitcher (BMUDA), 9, 40.44, 9.000, 0.00000]
[KR Pushpakumara (SL), 9, 69.23, 4.000, 0.00000]
[Saleem Jaffar (PAK), 18, 49.31, 2.769, 0.00000]
[RB Simpson (AUS), 18, 67.92, 18.000, 0.00000]
[LO Tikolo (KENYA), 0, 48, 18.000, 0.00000]
[JO Troughton (ENG), 9, 47.36, 7.200, 0.00000]
[B Bhandari (NEPAL), 11.66, 45.45, 11.667, 0.00000]
[PKD Chase (IRE), 3.5, 62.5, 2.188, 0.00000]
[H Durham (BMUDA), 8.75, 33.33, 5.000, 0.00000]
[G Dymock (AUS), 11.66, 42.68, 5.000, 0.00000]
[Joginder Sharma (INDIA), 35, 116.66, 11.667, 0.00000]
[C McAuslan (HKG), 17.5, 48.61, 17.500, 0.00000]
[Nazmul Hossain (BDESH), 4.37, 27.34, 1.667, 0.00000]
[JO Ngoche (KENYA), 5, 41.17, 3.182, 0.00000]
[KT Sandher (CAN), 5.83, 32.71, 3.500, 0.00000]
[AR Tait (NZ), 11.66, 109.37, 7.000, 0.00000]
[SD Udal (ENG), 11.66, 76.08, 5.000, 0.00000]
[MWA van Nierop (NL), 35, 71.42, 17.500, 0.00000]
[SM Warnapura (SL), 11.66, 46.05, 11.667, 0.00000]
[Zulfiqar Babar (PAK), 17.5, 87.5, 7.000, 0.00000]
[RP Alexander (USA), 17, 45.33, 17.000, 0.00000]
[SA Ankola (INDIA), 3.77, 80.95, 2.615, 0.00000]
[Ata-ur-Rehman (PAK), 4.85, 44.73, 2.615, 0.00000]
[Atiq-uz-Zaman (PAK), 17, 94.44, 11.333, 0.00000]
[ID Austin (ENG), 6.8, 69.38, 5.667, 0.00000]
[RO Collinge (NZ), 5.66, 54.83, 3.778, 0.00000]
[RMS Eranga (SL), 11.33, 53.12, 3.091, 0.00000]
[BN French (ENG), 6.8, 47.88, 4.250, 0.00000]
[AS Luseno (KENYA), 17, 68, 3.778, 0.00000]
[M Mbangwa (ZIM), 4.85, 60.71, 2.615, 0.00000]
[Mohammad Asif (Asia/PAK), 3.77, 34, 2.125, 0.00000]
[CG Rackemann (AUS), 2.83, 44.15, 1.889, 0.00000]
[TT Smart (HKG), 17, 36.17, 17.000, 0.00000]
[Fayyaz Butt (OMAN), 16.5, 78.57, 11.000, 0.00000]
[T Gibbons (BMUDA), 16.5, 33.67, 16.500, 0.00000]
[LWS Kaluperuma (SL), 0, 55, 11.000, 0.00000]
[RR Kulkarni (INDIA), 16.5, 84.61, 6.600, 0.00000]
[RJ McCurdy (AUS), 8.25, 46.47, 5.500, 0.00000]
[GE Peckover (ZIM), 16.5, 61.11, 11.000, 0.00000]
[PARP Perera (SL), 16.5, 56.89, 16.500, 0.00000]
[TL Seifert (NZ), 16.5, 122.22, 16.500, 0.00000]
[AS Wassan (INDIA), 8.25, 58.92, 5.500, 0.00000]
[TM Alderman (AUS), 2.66, 32.98, 1.778, 0.00000]
[RE Bryson (SA), 32, 128, 8.000, 0.00000]
[BFW de Leede (NL), 10.66, 42.66, 10.667, 0.00000]
[BP Kruger (NL), 10.66, 64, 10.667, 0.00000]
[SLV Raju (INDIA), 4, 47.76, 2.000, 0.00000]
[JD Siddons (AUS), 32, 86.48, 32.000, 0.00000]
[SP Terry (IRE), 6.4, 47.76, 6.400, 0.00000]
[Amir Hayat (UAE), 10.33, 42.46, 5.167, 0.00000]
[BS Bedi (INDIA), 6.2, 44.28, 4.429, 0.00000]
[HM Goonatilleke (SL), 31, 53.44, 7.750, 0.00000]
[PW Jarvis (ENG), 5.16, 79.48, 3.875, 0.00000]
[C Jonker (SA), 15.5, 93.93, 15.500, 0.00000]
[GC Martin (ZIM), 7.75, 47.69, 7.750, 0.00000]
[MN Nawaz (SL), 15.5, 43.66, 10.333, 0.00000]
[JD Nel (SCOT), 15.5, 57.4, 3.100, 0.00000]
[PADLR Sandakan (SL), 3.87, 35.22, 2.583, 0.00000]
[MM Sharma (INDIA), 7.75, 46.96, 3.444, 0.00000]
[PM Siddle (AUS), 10.33, 103.33, 5.167, 0.00000]
[Sikander Bakht (PAK), 7.75, 31.95, 2.818, 0.00000]
[RW Sims (ZIM), 31, 46.26, 15.500, 0.00000]
[HR Walsh (USA/WI), 15.5, 83.78, 15.500, 0.00000]
[RD Woolley (AUS), 31, 81.57, 10.333, 0.00000]
[M Yachad (SA), 31, 40.25, 31.000, 0.00000]
[BE Young (AUS), 15.5, 65.95, 10.333, 0.00000]
[GJ Batty (ENG), 5, 41.09, 3.750, 0.00000]
[SL Boock (NZ), 10, 96.77, 4.286, 0.00000]
[M Cheruparambil (HKG), 15, 57.69, 15.000, 0.00000]
[PT Collins (WI), 4.28, 60, 2.500, 0.00000]
[BL D'Oliveira (ENG), 10, 69.76, 7.500, 0.00000]
[Ehsan Nawaz (HKG), 5, 34.48, 3.000, 0.00000]
[MVT Fernando (SL), 15, 49.18, 3.750, 0.00000]
[EE Hemmings (ENG), 5, 49.18, 2.500, 0.00000]
[AJ Ireland (ZIM), 3.75, 29.7, 2.308, 0.00000]
[FJ Klaassen (NL), 15, 57.69, 10.000, 0.00000]
[IT Shillingford (WI), 15, 78.94, 15.000, 0.00000]
[PA van Meekeren (NL), 0, 75, 10.000, 0.00000]
[JCB Vaughan (CAN), 10, 54.54, 10.000, 0.00000]
[JS Ababu (KENYA), 9.66, 46.03, 5.800, 0.00000]
[N Pradeep (SL), 4.14, 37.66, 1.381, 0.00000]
[TCB Fernando (SL), 7.25, 49.15, 2.900, 0.00000]
[BW Hilfenhaus (AUS), 9.66, 42.02, 2.636, 0.00000]
[Imran Abbas (PAK), 14.5, 46.03, 14.500, 0.00000]
[DI Joyce (IRE), 9.66, 51.78, 9.667, 0.00000]
[ARM Opatha (SL), 9.66, 52.72, 9.667, 0.00000]
[KJ Wright (AUS), 14.5, 55.76, 14.500, 0.00000]
[Adeel Raja (NL), 2.8, 20.14, 2.333, 0.00000]
[WW Davis (WI), 14, 52.83, 5.600, 0.00000]
[JD Hall (IRE), 9.33, 37.33, 9.333, 0.00000]
[Kamran Hussain (PAK), 0, 133.33, 28.000, 0.00000]
[Mohammad Hasnain (PAK), 14, 155.55, 14.000, 0.00000]
[DS Mohanty (INDIA), 5.6, 49.12, 2.545, 0.00000]
[Taslim Arif (PAK), 14, 48.27, 14.000, 0.00000]
[Ehsan Adil (PAK), 9, 64.28, 6.750, 0.00000]
[TJ Franklin (NZ), 9, 30.33, 9.000, 0.00000]
[TG Gordon (CAN), 5.4, 45.76, 5.400, 0.00000]
[TJ Heggelman (NL), 5.4, 31.76, 5.400, 0.00000]
[HAPW Jayawardene (SL), 5.4, 61.36, 5.400, 0.00000]
[TP Kamungozi (ZIM), 5.4, 49.09, 2.455, 0.00000]
[BL Kotze (NAM), 9, 52.94, 6.750, 0.00000]
[DS Kulkarni (INDIA), 0, 96.42, 13.500, 0.00000]
[WM Lawry (AUS), 27, 55.1, 27.000, 0.00000]
[Mohsin Kamal (PAK), 9, 67.5, 4.500, 0.00000]
[Mujahid Jamshed (PAK), 13.5, 50, 9.000, 0.00000]
[RJ Robinson (BMUDA), 13.5, 67.5, 13.500, 0.00000]
[Rumman Raees (PAK), 9, 112.5, 6.750, 0.00000]
[ED Solkar (INDIA), 4.5, 34.17, 4.500, 0.00000]
[BA Williams (AUS), 13.5, 58.69, 4.500, 0.00000]
[Zakir Khan (PAK), 27, 42.85, 5.400, 0.00000]
[Aizaz Cheema (PAK), 8.66, 57.77, 4.333, 0.00000]
[BJ Diamanti (NZ), 0, 118.18, 26.000, 0.00000]
[BG Hadlee (NZ), 26, 27.95, 13.000, 0.00000]
[RC Haynes (WI), 5.2, 39.39, 4.333, 0.00000]
[Khurram Nawaz (OMAN), 26, 53.06, 13.000, 0.00000]
[A Kuruvilla (INDIA), 3.71, 60.46, 2.364, 0.00000]
[Mosharraf Hossain (BDESH), 6.5, 34.66, 5.200, 0.00000]
[MS Panesar (ENG), 5.2, 28.57, 3.250, 0.00000]
[Pervez Mir (PAK), 13, 59.09, 8.667, 0.00000]
[CEB Rice (SA), 13, 70.27, 13.000, 0.00000]
[TG Shaw (SA), 13, 74.28, 4.333, 0.00000]
[SL Stewart (NZ), 6.5, 44.06, 6.500, 0.00000]
[Tareq Aziz (BDESH), 26, 35.61, 3.250, 0.00000]
[BO van Rooi (NAM), 26, 68.42, 8.667, 0.00000]
[RJ van Vuuren (NAM), 8.66, 68.42, 5.200, 0.00000]
[Wasim Haider (PAK), 13, 37.14, 13.000, 0.00000]
[Zain Abbas (HKG), 0, 48.14, 26.000, 0.00000]
[Sultan Zarawani (UAE), 4.33, 41.93, 4.333, 0.00000]
[RJ Blakey (ENG), 12.5, 50, 12.500, 0.00000]
[DK Butler (WI), 25, 73.52, 6.250, 0.00000]
[JJ Dawood (CAN), 0, 131.57, 25.000, 0.00000]
[MLC Foster (WI), 25, 40.32, 25.000, 0.00000]
[S Jeganathan (SL), 8.33, 64.1, 6.250, 0.00000]
[KA Maharaj (SA), 12.5, 96.15, 12.500, 0.00000]
[GMC Mol (NL), 12.5, 46.29, 6.250, 0.00000]
[Nasir Ahmed (BDESH), 12.5, 40.32, 6.250, 0.00000]
[A Patel (CAN), 25, 86.2, 25.000, 0.00000]
[AK Sah (NEPAL), 12.5, 71.42, 12.500, 0.00000]
[Saleem Altaf (PAK), 25, 47.16, 12.500, 0.00000]
[Sayed Shirzad (AFG), 25, 147.05, 25.000, 0.00000]
[Shahid Nazir (PAK), 25, 58.13, 3.125, 0.00000]
[Sohail Khan (PAK), 5, 49.01, 4.167, 0.00000]
[SW Tait (AUS), 12.5, 86.2, 3.571, 0.00000]
[SK Atai (PNG), 24, 42.1, 24.000, 0.00000]
[MR Benson (ENG), 24, 41.37, 24.000, 0.00000]
[AN French (HKG), 12, 28.57, 12.000, 0.00000]
[ST Gabriel (WI), 3.42, 38.09, 1.500, 0.00000]
[SF Graf (AUS), 4, 48, 4.000, 0.00000]
[JPR Lamsam (HKG), 12, 51.06, 12.000, 0.00000]
[SW Lubbers (NL), 8, 64.86, 6.000, 0.00000]
[DJ Malan (ENG), 24, 80, 24.000, 0.00000]
[MJ Mason (NZ), 8, 53.33, 3.429, 0.00000]
[Naeem Ashraf (PAK), 24, 55.81, 12.000, 0.00000]
[SB O'Connor (NZ), 3.42, 26.37, 1.846, 0.00000]
[SP Pasqual (SL), 24, 85.71, 12.000, 0.00000]
[N Pothas (SA), 24, 58.53, 24.000, 0.00000]
[Rafiqul Alam (BDESH), 12, 38.09, 12.000, 0.00000]
[Sheikh Salahuddin (BDESH), 12, 17.64, 4.800, 0.00000]
[ML Su'a (NZ), 4.8, 42.85, 3.429, 0.00000]
[Amir Hamza (AFG), 3.28, 24.46, 1.438, 0.00000]
[JO Angara (KENYA), 3.83, 35.93, 2.091, 0.00000]
[HAG Anthony (WI), 7.66, 104.54, 7.667, 0.00000]
[Asim Butt (SCOT), 5.75, 82.14, 5.750, 0.00000]
[SV Bahutule (INDIA), 7.66, 79.31, 5.750, 0.00000]
[J Figy John (UAE), 23, 63.88, 23.000, 0.00000]
[SC Getkate (IRE), 23, 100, 11.500, 0.00000]
[AE Greenidge (WI), 23, 69.69, 23.000, 0.00000]
[Hasti Gul (AFG), 0, 209.09, 23.000, 0.00000]
[E Katchay (CAN), 11.5, 56.09, 7.667, 0.00000]
[J Louw (SA), 23, 328.57, 23.000, 0.00000]
[SJ Massiah (USA), 11.5, 52.27, 11.500, 0.00000]
[AJ Penn (NZ), 11.5, 69.69, 7.667, 0.00000]
[V Razdan (INDIA), 11.5, 85.18, 7.667, 0.00000]
[CP Tremain (AUS), 23, 62.16, 7.667, 0.00000]
[Waheed Ahmed (UAE), 11.5, 45.09, 11.500, 0.00000]
[Afzaal Haider (HKG), 7.33, 42.3, 5.500, 0.00000]
[UNK Fernando (SL), 0, 88, 11.000, 0.00000]
[DW Headley (ENG), 11, 44.89, 3.667, 0.00000]
[Kamran Shazad (UAE), 11, 88, 7.333, 0.00000]
[Mohammad Salman (PAK), 11, 56.41, 7.333, 0.00000]
[Shafiuddin Ahmed (BDESH), 5.5, 33.33, 2.200, 0.00000]
[BR Taylor (NZ), 22, 52.38, 22.000, 0.00000]
[CM Wells (ENG), 11, 50, 11.000, 0.00000]
[Ali Asad (UAE), 21, 44.68, 10.500, 0.00000]
[B Arun (INDIA), 10.5, 65.62, 7.000, 0.00000]
[AB Dinda (INDIA), 4.2, 58.33, 4.200, 0.00000]
[Karan KC (NEPAL), 5.25, 91.3, 5.250, 0.00000]
[S Keshvani (CAN), 10.5, 55.26, 10.500, 0.00000]
[MAWR Madurasinghe (SL), 10.5, 33.87, 3.500, 0.00000]
[J Patraj (CAN), 10.5, 43.75, 10.500, 0.00000]
[K Pierre (WI), 21, 116.66, 21.000, 0.00000]
[DA Stirling (NZ), 7, 53.84, 4.200, 0.00000]
[I Wardlaw (SCOT), 3.5, 52.5, 1.500, 0.00000]
[RA Woolmer (ENG), 5.25, 45.65, 5.250, 0.00000]
[SP Davis (AUS), 5, 58.82, 1.818, 0.00000]
[O Henry (SA), 10, 76.92, 6.667, 0.00000]
[AP Igglesden (ENG), 10, 64.51, 6.667, 0.00000]
[MR Johnson (USA), 10, 105.26, 10.000, 0.00000]
[MMA Jonkman (NL), 10, 39.21, 10.000, 0.00000]
[BM Mauricette (CAN), 6.66, 29.41, 6.667, 0.00000]
[DT Mutendera (ZIM), 10, 46.51, 5.000, 0.00000]
[Najmul Hossain Shanto (BDESH), 6.66, 44.44, 6.667, 0.00000]
[IL Philip (SCOT), 6.66, 22.47, 6.667, 0.00000]
[ADJ Pitcher (BMUDA), 6.66, 71.42, 6.667, 0.00000]
[Rizwan-uz-Zaman (PAK), 6.66, 15.5, 6.667, 0.00000]
[AF Sattaur (CAN), 6.66, 33.33, 6.667, 0.00000]
[PH Sharma (INDIA), 10, 51.28, 10.000, 0.00000]
[S Shivnarine (WI), 0, 46.51, 20.000, 0.00000]
[Umair Ali (UAE), 10, 66.66, 10.000, 0.00000]
[KIW Wijegunawardene (SL), 2.85, 36.36, 1.667, 0.00000]
[CA Young (IRE), 5, 62.5, 3.333, 0.00000]
[JP Behrendorff (AUS), 9.5, 126.66, 3.800, 0.00000]
[JJ Bumrah (INDIA), 3.8, 44.18, 1.462, 0.00000]
[JW Dernbach (ENG), 2.71, 48.71, 2.375, 0.00000]
[EL Gouka (NL), 19, 52.77, 9.500, 0.00000]
[RGA Headley (WI), 19, 46.34, 19.000, 0.00000]
[S Jora (NEPAL), 19, 95, 19.000, 0.00000]
[T Kumaran (INDIA), 6.33, 70.37, 6.333, 0.00000]
[MA Meman (ZIM), 19, 86.36, 19.000, 0.00000]
[V Permaul (WI), 6.33, 73.07, 4.750, 0.00000]
[HSM Pieris (SL), 9.5, 32.2, 6.333, 0.00000]
[Sami Faridi (CAN), 9.5, 61.29, 9.500, 0.00000]
[MJ Smith (SCOT), 3.8, 22.35, 3.800, 0.00000]
[Sunzamul Islam (BDESH), 19, 79.16, 19.000, 0.00000]
[C Viljoen (NAM), 19, 82.6, 9.500, 0.00000]
[AG Wharf (ENG), 9.5, 67.85, 3.800, 0.00000]
[KOK Williams (WI), 19, 70.37, 3.800, 0.00000]
[SG Borthwick (ENG), 9, 112.5, 9.000, 0.00000]
[DL Chahar (INDIA), 18, 81.81, 9.000, 0.00000]
[CEH Croft (WI), 9, 47.36, 3.000, 0.00000]
[HJ Howarth (NZ), 6, 69.23, 3.600, 0.00000]
[Jamaluddin Ahmed (BDESH), 0, 64.28, 18.000, 0.00000]
[F Kasteni (ZIM), 6, 42.85, 6.000, 0.00000]
[AV Lalcheta (OMAN), 9, 38.29, 9.000, 0.00000]
[JJC Lawson (WI), 6, 112.5, 3.600, 0.00000]
[Munir Dar (HKG), 9, 112.5, 9.000, 0.00000]
[Saleem Pervez (PAK), 18, 46.15, 18.000, 0.00000]
[LR Shukla (INDIA), 9, 94.73, 9.000, 0.00000]
[Sultan Ahmed (UAE), 9, 42.85, 9.000, 0.00000]
[Syed Maqsood (UAE), 9, 41.86, 9.000, 0.00000]
[Tanvir Ahmed (PAK), 18, 150, 18.000, 0.00000]
[K Whatham (CAN), 18, 43.9, 18.000, 0.00000]
[RGCE Wijesuriya (SL), 18, 37.5, 6.000, 0.00000]
[Zulqarnain (PAK), 6, 60, 3.000, 0.00000]
[GI Allott (NZ), 3.4, 30.35, 1.545, 0.00000]
[SM Curran (ENG), 8.5, 58.62, 8.500, 0.00000]
[IS Gallage (SL), 17, 62.96, 8.500, 0.00000]
[RD Gudhka (KENYA), 17, 121.42, 8.500, 0.00000]
[MJ Hoggard (ENG), 4.25, 56.66, 2.833, 0.00000]
[Ilyas Gull (HKG), 8.5, 28.81, 8.500, 0.00000]
[Intikhab Alam (PAK), 8.5, 37.77, 8.500, 0.00000]
[IT Iqbal (KENYA), 8.5, 32.69, 8.500, 0.00000]
[RSA Jayasekera (SL), 17, 40.47, 17.000, 0.00000]
[KCB Jeremy (WI), 8.5, 40.47, 4.250, 0.00000]
[RJ Kennedy (NZ), 17, 113.33, 4.250, 0.00000]
[CBRLS Kumara (SL), 5.66, 37.77, 2.833, 0.00000]
[P Lever (ENG), 17, 70.83, 5.667, 0.00000]
[PHKD Mendis (SL), 17, 44.73, 8.500, 0.00000]
[Raqibul Hasan (BDESH), 8.5, 26.15, 8.500, 0.00000]
[CEW Silverwood (ENG), 4.25, 50, 4.250, 0.00000]
[S Abrahams (SA), 0, 61.53, 16.000, 0.00000]
[RW Anderson (NZ), 16, 34.78, 8.000, 0.00000]
[JH Desai (USA), 16, 42.1, 16.000, 0.00000]
[AM Guruge (UAE), 0, 55.17, 4.000, 0.00000]
[N Ifill (CAN), 5.33, 35.55, 5.333, 0.00000]
[Jahangir Shah (BDESH), 8, 25.8, 4.000, 0.00000]
[RL Johnson (ENG), 5.33, 80, 4.000, 0.00000]
[SB Lama (HKG), 0, 33.33, 16.000, 0.00000]
[BP Loots (NL), 5.33, 59.25, 3.200, 0.00000]
[RAL Massie (AUS), 0, 66.66, 16.000, 0.00000]
[B Muzarabani (ZIM), 2, 17.97, 1.067, 0.00000]
[KJ O'Keeffe (AUS), 16, 42.1, 8.000, 0.00000]
[FN Otieno (KENYA), 4, 23.52, 4.000, 0.00000]
[ADG Roberts (NZ), 16, 66.66, 16.000, 0.00000]
[V Shetty (UAE), 8, 55.17, 8.000, 0.00000]
[Shubman Gill (INDIA), 8, 50, 8.000, 0.00000]
[CB Sole (SCOT), 3.2, 44.44, 3.200, 0.00000]
[S Somasunder (INDIA), 8, 25.39, 8.000, 0.00000]
[J Theron (SA/USA), 3.2, 53.33, 2.667, 0.00000]
[BTJ Wheal (SCOT), 4, 51.61, 2.286, 0.00000]
[PJW Allott (ENG), 3, 60, 2.500, 0.00000]
[KN Amalean (SL), 7.5, 57.69, 5.000, 0.00000]
[RR Beaton (WI), 15, 29.41, 7.500, 0.00000]
[HF Gurney (ENG), 7.5, 45.45, 2.500, 0.00000]
[JR Hammond (AUS), 0, 53.57, 15.000, 0.00000]
[RS Higgins (ZIM), 2.5, 23.8, 1.875, 0.00000]
[DAW Hollis (BMUDA), 0, 57.69, 15.000, 0.00000]
[Irfan Fazil (PAK), 15, 93.75, 15.000, 0.00000]
[GE Kidd (IRE), 15, 60, 15.000, 0.00000]
[BW Luckhurst (ENG), 5, 21.73, 5.000, 0.00000]
[Mansoor Rana (PAK), 7.5, 62.5, 7.500, 0.00000]
[Mohammad Zahid (PAK), 7.5, 68.18, 3.750, 0.00000]
[J Mulder (IRE), 0, 136.36, 7.500, 0.00000]
[EMDY Munaweera (SL), 7.5, 51.72, 7.500, 0.00000]
[Nurul Abedin (BDESH), 3.75, 27.27, 3.750, 0.00000]
[HD Rutherford (NZ), 3.75, 26.78, 3.750, 0.00000]
[Sajjad Ahmed (BDESH), 7.5, 32.6, 7.500, 0.00000]
[DM Smith (ENG), 15, 37.5, 7.500, 0.00000]
[LW Stokkers (NL), 0, 37.5, 15.000, 0.00000]
[Tariq Javed (CAN), 5, 19.48, 5.000, 0.00000]
[PCR Tufnell (ENG), 15, 48.38, 1.500, 0.00000]
[PS Vaidya (INDIA), 7.5, 125, 7.500, 0.00000]
[A van der Merwe (IRE), 3.75, 60, 2.500, 0.00000]
[AP Wells (ENG), 15, 150, 15.000, 0.00000]
[Zafar Gohar (PAK), 15, 100, 15.000, 0.00000]
[Ahsan Malik (NL), 0, 51.85, 2.800, 0.00000]
[Asghar Ali (UAE), 7, 26.41, 7.000, 0.00000]
[Asif Mahmood (PAK), 7, 41.17, 7.000, 0.00000]
[IPP Batuwitarachchi (UAE), 7, 29.16, 7.000, 0.00000]
[AR Butcher (ENG), 14, 53.84, 14.000, 0.00000]
[G Chapple (ENG), 14, 200, 14.000, 0.00000]
[LA Dawson (ENG), 7, 82.35, 7.000, 0.00000]
[HS Dhillon (CAN), 7, 40, 7.000, 0.00000]
[EA Essop-Adam (ZIM), 0, 93.33, 14.000, 0.00000]
[SKW Kelly (BMUDA), 0, 45.16, 2.333, 0.00000]
[LD Madushanka (SL), 4.66, 53.84, 3.500, 0.00000]
[AA Mallett (AUS), 7, 38.88, 4.667, 0.00000]
[Mohammad Akram (PAK), 7, 41.17, 1.556, 0.00000]
[Nadeem Ghauri (PAK), 14, 56, 4.667, 0.00000]
[R Ngarava (ZIM), 2.8, 46.66, 2.333, 0.00000]
[IA Nicolson (ZIM), 7, 63.63, 7.000, 0.00000]
[D Soraine (CAN), 3.5, 70, 3.500, 0.00000]
[GE Vivian (NZ), 14, 46.66, 14.000, 0.00000]
[LJ Woodcock (NZ), 14, 63.63, 7.000, 0.00000]
[Zahid Razzak (BDESH), 4.66, 31.81, 4.667, 0.00000]
[Aamer Nazir (PAK), 13, 65, 4.333, 0.00000]
[Aamir Kaleem (OMAN), 13, 81.25, 13.000, 0.00000]
[JC Archer (ENG), 3.25, 59.09, 1.857, 0.00000]
