[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[NLTC Perera (SL), 19.73, 111.67, 17.266, 7.81250]
[MJ Greatbatch (NZ), 28.28, 71.18, 26.578, 15.66265]
[JC Adams (WI), 28.62, 60.98, 20.990, 13.33333]
[Shahriar Nafees (BDESH), 31.44, 69.49, 29.347, 17.33333]
[D Ramdin (WI), 25, 80.35, 20.000, 7.27273]
[RA Jadeja (INDIA), 31.25, 86.04, 20.642, 10.37736]
[CS MacLeod (SCOT), 37.5, 82.92, 33.984, 12.50000]
[Habibul Bashar (BDESH), 21.68, 60.45, 20.648, 13.33333]
[IT Botham (ENG), 23.21, 79.1, 19.934, 8.49057]
[MW Gatting (ENG), 29.5, 70.58, 23.807, 10.22727]
[NH Fairbrother (ENG), 39.47, 72.06, 29.465, 22.53521]
[RL Powell (WI), 24.82, 96.66, 20.850, 8.00000]
[CL White (AUS), 33.96, 80.12, 26.909, 14.28571]
[GC Wilson (IRE), 23.81, 71.94, 20.929, 12.12121]
[CO Obuya (KENYA), 25.55, 68.56, 22.966, 12.35955]
[Yasir Hameed (PAK), 36.87, 66.95, 36.214, 21.42857]
[WPUJC Vaas (Asia/SL), 13.68, 72.42, 9.205, 0.45455]
[KO Otieno (KENYA), 23.44, 56.61, 23.172, 13.79310]
[SV Manjrekar (INDIA), 33.23, 64.3, 28.486, 21.42857]
[MP Vaughan (ENG), 27.15, 68.39, 23.880, 19.27711]
[CH Lloyd (WI), 39.54, 81.22, 28.652, 15.94203]
[GD Elliott (NZ), 34.06, 81.78, 28.638, 15.94203]
[BKG Mendis (SL), 29.01, 83.35, 27.789, 22.53521]
[KJ Hughes (AUS), 24, 67.42, 22.364, 19.31818]
[A Bagai (CAN), 37.76, 65.57, 32.733, 26.66667]
[Fakhar Zaman (PAK), 46.61, 95.23, 42.565, 28.26087]
[LMP Simmons (WI), 31.58, 73.05, 30.123, 24.61538]
[Aftab Ahmed (BDESH), 24.73, 83.04, 22.988, 16.47059]
[PJL Dujon (WI), 23.15, 67.51, 16.208, 5.00000]
[M Amarnath (INDIA), 30.53, 57.7, 25.653, 17.33333]
[KLT Arthurton (WI), 26.08, 67.46, 20.473, 9.67742]
[Imran Nazir (PAK), 24.61, 81.01, 23.987, 11.39241]
[RD Berrington (SCOT), 28.08, 74.24, 25.781, 17.80822]
[Mohsin Khan (PAK), 26.81, 55.64, 25.027, 10.66667]
[JV Coney (NZ), 30.72, 64.95, 23.425, 10.00000]
[DJG Sammy (WI), 24.94, 100.05, 17.819, 8.57143]
[RD Jacobs (WI), 23.31, 70.06, 16.652, 8.03571]
[M Prabhakar (INDIA), 24.12, 60.26, 18.959, 11.22449]
[Azhar Ali (PAK), 36.9, 74.45, 34.811, 22.64151]
[OA Shah (ENG), 30.56, 78.67, 27.788, 18.18182]
[MW Goodwin (ZIM), 27.13, 68.5, 25.971, 11.42857]
[Khaled Mashud (BDESH), 21.9, 54.84, 16.527, 6.36364]
[BA Edgar (NZ), 30.74, 49.22, 28.344, 15.62500]
[A Balbirnie (IRE), 31.8, 75.13, 29.721, 13.11475]
[Samiullah Shinwari (AFG), 29.2, 65.49, 24.473, 14.86486]
[JO Holder (WI), 25.68, 94.28, 20.202, 10.11236]
[DJ Hussey (AUS), 32.65, 90.7, 29.443, 22.95082]
[MA Atherton (ENG), 35.11, 58.64, 33.167, 22.22222]
[Mashrafe Mortaza (Asia/BDESH), 13.84, 87.67, 11.449, 0.64103]
[MS Wade (AUS), 25.75, 82.11, 22.213, 12.50000]
[MM Ali (ENG), 25.59, 104.06, 21.537, 6.09756]
[IA Healy (AUS), 21, 83.84, 14.700, 3.33333]
[KD Karthik (INDIA), 30.2, 73.24, 22.177, 11.39241]
[Sir RJ Hadlee (NZ), 21.61, 75.5, 17.867, 4.08163]
[Soumya Sarkar (BDESH), 33.88, 98.57, 32.000, 20.37037]
[Imam-ul-Haq (PAK), 53.84, 80.47, 46.568, 16.21622]
[Imran Farhat (PAK), 30.69, 69.06, 29.638, 22.41379]
[CB Wishart (ZIM), 23.22, 70.56, 20.963, 6.09756]
[Rashid Latif (PAK), 19.42, 76.39, 14.607, 2.56410]
[DA Gunawardene (SL), 28.46, 71.49, 28.000, 19.67213]
[AT Rayudu (INDIA), 47.05, 79.04, 33.880, 20.00000]
[ND McKenzie (SA), 37.51, 69.4, 30.691, 18.18182]
[NC Johnson (ZIM), 36.5, 70.28, 34.979, 22.91667]
[BA Young (NZ), 24.52, 61.03, 22.849, 12.32877]
[UDU Chandana (SL), 17.3, 72.99, 14.658, 4.50450]
[CK Kapugedera (SL), 21.09, 72.04, 19.333, 9.52381]
[Haris Sohail (PAK), 46.11, 85.17, 40.350, 32.50000]
[GM Turner (NZ), 47, 68.05, 39.950, 22.50000]
[LPC Silva (SL), 28.85, 70.4, 25.597, 20.96774]
[Najibullah Zadran (AFG), 29.92, 89.85, 25.581, 17.74194]
[SC Williams (WI), 32.36, 66.02, 28.836, 21.81818]
[Saleem Elahi (PAK), 36.72, 71.31, 33.596, 19.14894]
[RL Dias (SL), 31.46, 67.94, 28.600, 20.00000]
[N Dickwella (SL), 32.72, 93.56, 32.061, 18.36735]
[DR Smith (WI), 18.57, 92.69, 17.528, 8.98876]
[UT Khawaja (AUS), 42, 84.09, 39.846, 30.76923]
[IK Pathan (INDIA), 23.39, 79.54, 17.747, 5.74713]
[RN ten Doeschate (NL), 67, 87.7, 48.156, 28.12500]
[DL Houghton (ZIM), 26.37, 70.99, 25.500, 20.00000]
[LRD Mendis (SL), 23.49, 75.07, 20.635, 9.45946]
[Azhar Mahmood (PAK), 18.1, 76.5, 13.827, 2.72727]
[RS Morton (WI), 33.75, 66.36, 29.784, 19.60784]
[JJ Crowe (NZ), 25.72, 61.8, 21.380, 9.85915]
[JM Kemp (Afr/SA), 31.5, 83.12, 22.909, 15.15152]
[RD Shah (KENYA), 27.88, 65.53, 27.382, 21.81818]
[MA Ouma (KENYA), 20.84, 59.44, 19.494, 9.09091]
[HJH Marshall (NZ), 27.43, 73.06, 23.452, 19.35484]
[DD Ebrahim (ZIM), 20.61, 56.81, 18.987, 5.26316]
[MR Marsh (AUS), 35.7, 93.08, 29.143, 22.44898]
[Nasir Jamshed (PAK), 31.51, 75.38, 29.542, 16.66667]
[SO Hetmyer (WI), 38.27, 107.02, 35.400, 10.00000]
[HA Gomes (WI), 28.87, 54.88, 22.109, 9.37500]
[N Boje (Afr/SA), 26.67, 88.7, 19.915, 5.63380]
[MO Odumbe (KENYA), 26.09, 69.96, 23.881, 18.64407]
[P Utseya (ZIM), 16.73, 58.34, 10.652, 3.03030]
[E Lewis (WI), 32.6, 82.27, 31.156, 15.55556]
[L Ronchi (AUS/NZ), 23.67, 114.5, 20.544, 5.88235]
[GP Howarth (NZ), 23.06, 60.14, 21.292, 9.23077]
[JD Ryder (NZ), 33.21, 95.31, 32.429, 14.28571]
[BC Broad (ENG), 40.02, 55.61, 40.029, 32.35294]
[DO Obuya (KENYA), 19.35, 63.46, 18.562, 8.21918]
[KM Jadhav (INDIA), 42.31, 102.18, 27.080, 12.00000]
[Asad Shafiq (PAK), 24.74, 67.5, 23.034, 15.51724]
[PG Fulton (NZ), 32.53, 72.77, 29.000, 17.39130]
[Sabbir Rahman (BDESH), 25.63, 91.23, 22.593, 10.16949]
[KMDN Kulasekara (SL), 15.43, 81.46, 10.789, 3.25203]
[JR Hopes (AUS), 25.01, 93.71, 21.738, 4.91803]
[SM Katich (AUS), 35.78, 68.74, 31.524, 21.42857]
[Javed Omar (BDESH), 23.85, 51.89, 22.237, 16.94915]
[Raqibul Hasan (BDESH), 27.82, 61.32, 24.222, 14.81481]
[AA Obanda (KENYA), 30.37, 74.03, 29.022, 20.00000]
[MS Sinclair (NZ), 28.34, 62.51, 26.080, 16.00000]
[PN Kirsten (SA), 38.02, 56.02, 32.325, 22.50000]
[J Charles (WI), 26.72, 83.8, 26.729, 8.33333]
[MJ Prior (ENG), 24.18, 76.76, 20.677, 4.83871]
[Nasir Hossain (BDESH), 29.11, 79.81, 24.635, 11.53846]
[TM Head (AUS), 34.4, 90.02, 32.641, 25.64103]
[NR Mongia (INDIA), 20.19, 68.9, 13.250, 2.08333]
[C Munro (NZ), 24.92, 104.69, 23.981, 15.09434]
[JEC Franklin (NZ), 23.96, 76.92, 15.875, 5.00000]
[AB Agarkar (INDIA), 14.58, 80.62, 11.230, 2.65487]
[Shoaib Mohammad (PAK), 24.4, 50.92, 21.879, 13.79310]
[Basit Ali (PAK), 34.18, 75.79, 29.419, 20.93023]
[MN Waller (ZIM), 19.07, 76.81, 17.486, 6.94444]
[MD Gunathilaka (SL), 34.69, 85.9, 33.757, 21.62162]
[JDS Neesham (NZ), 31.17, 98.96, 24.940, 12.00000]
[SP O'Donnell (AUS), 25.34, 80.96, 19.406, 14.06250]
[RR Rossouw (SA), 38.71, 94.36, 35.400, 20.00000]
[Harbhajan Singh (Asia/INDIA), 13.3, 81.06, 9.664, 0.00000]
[SG Law (AUS), 26.89, 75.28, 24.255, 13.72549]
[Alok Kapali (BDESH), 19.6, 67.96, 18.712, 7.57576]
[GM Hamilton (SCOT), 35.17, 66.64, 32.395, 18.42105]
[D Mongia (INDIA), 27.95, 71.47, 24.118, 7.84314]
[RW Marsh (AUS), 20.08, 82.26, 16.118, 5.26316]
[HDPK Dharmasena (SL), 22.62, 65.03, 14.046, 4.59770]
[Shaiman Anwar (UAE), 31.25, 82.53, 30.475, 27.50000]
[Noor Ali Zadran (AFG), 24.81, 63.23, 24.320, 14.00000]
[TM Moody (AUS), 23.28, 69.31, 18.922, 15.62500]
[Junaid Siddique (BDESH), 23, 68.22, 22.566, 11.32075]
[Mohammad Rafique (Asia/BDESH), 13.38, 71.61, 11.236, 1.88679]
[CR Woakes (ENG), 24.7, 90.12, 17.441, 5.88235]
[B Lee (AUS), 17.81, 83.58, 10.691, 2.72727]
[JA Rudolph (Afr/SA), 35.57, 68.05, 30.103, 17.94872]
[Nawroz Mangal (AFG), 27.11, 75.33, 23.729, 8.33333]
[MH Cross (SCOT), 24.17, 73.95, 23.667, 10.41667]
[T Mishra (KENYA), 34.18, 73.53, 28.200, 20.00000]
[HM Nicholls (NZ), 33.93, 82.41, 26.047, 20.93023]
[PL Mommsen (SCOT), 30.97, 69.04, 26.548, 14.28571]
[MF Maharoof (SL), 19.52, 86.01, 14.840, 2.66667]
[CJ Anderson (NZ), 27.72, 108.72, 24.644, 8.88889]
[HS Modi (KENYA), 23.59, 58.18, 19.804, 8.92857]
[ES Szwarczynski (NL), 29.78, 68.23, 27.550, 25.00000]
[VS Solanki (ENG), 26.75, 72.93, 23.848, 10.86957]
[B Zuiderent (NL), 23.84, 58.56, 19.589, 14.28571]
[PA Strang (ZIM), 22.24, 66.02, 14.932, 0.00000]
[G Boycott (ENG), 36.06, 53.56, 31.824, 26.47059]
[F Behardien (SA), 30.68, 97.9, 21.918, 12.24490]
[NL McCullum (NZ), 20.98, 87.7, 17.258, 6.45161]
[Asif Mujtaba (PAK), 26.04, 63.91, 19.418, 10.90909]
[DW Randall (ENG), 26.67, 62.69, 23.711, 11.11111]
[Hashmatullah Shahidi (AFG), 32.18, 63.7, 27.231, 23.07692]
[DS Smith (WI), 24.62, 70.31, 23.533, 11.11111]
[JK Kamande (KENYA), 17.29, 62.61, 14.653, 4.16667]
[IDS Smith (NZ), 17.29, 99.43, 13.701, 3.89610]
[C Kieswetter (ENG), 30.11, 89.93, 26.350, 12.50000]
[Anamul Haque (BDESH), 30.05, 70.69, 30.057, 8.57143]
[MP Stoinis (AUS), 33.87, 91.86, 27.632, 15.78947]
[KD Mills (NZ), 15.62, 81.66, 10.366, 1.98020]
[JM How (NZ), 29.05, 66.53, 28.270, 18.91892]
[Gulbadin Naib (AFG), 21.68, 73.1, 18.589, 8.92857]
[AD Russell (WI), 27.21, 130.22, 22.000, 8.51064]
[JP Faulkner (AUS), 34.4, 104.24, 19.846, 7.69231]
[DSBP Kuruppu (SL), 20.03, 51.66, 19.654, 7.69231]
