[MHN Walker (AUS), 9.87, 46.47, 7.182, 0.00000]
[UT Yadav (INDIA), 7.9, 58.95, 3.292, 0.00000]
[AC Dale (AUS), 19.5, 57.35, 6.500, 0.00000]
[Mustafizur Rahman (BDESH), 7.8, 57.35, 2.889, 0.00000]
[MW Rushmere (SA), 19.5, 44.82, 19.500, 0.00000]
[KJ Abbott (SA), 8.44, 60.31, 5.846, 0.00000]
[TL Best (WI), 9.5, 60.8, 4.750, 0.00000]
[MM Patel (INDIA), 6.72, 66.07, 2.741, 0.00000]
[FH Edwards (WI), 9.12, 45.62, 3.318, 0.00000]
[CK Langeveldt (SA), 6.63, 58.87, 3.476, 0.00000]
[EB McSweeney (NZ), 8.11, 61.34, 5.214, 0.00000]
[BA Murphy (ZIM), 8, 55.38, 4.235, 0.00000]
[OL Pitcher (BMUDA), 14.4, 33.17, 14.400, 0.00000]
[I Sharma (INDIA), 4.8, 35.46, 2.571, 0.00000]
[S Viswanath (INDIA), 9, 51.79, 6.000, 0.00000]
[CJ Adams (ENG), 17.75, 49.3, 17.750, 0.00000]
[DI Allan (KENYA), 14.2, 46.4, 14.200, 0.00000]
[JDF Vandersay (SL), 11.83, 42.77, 10.143, 0.00000]
[KED Carroll (IRE), 11.66, 55.55, 11.667, 0.00000]
[SR Gillespie (NZ), 11.66, 66.03, 6.364, 0.00000]
[MJ Smith (ENG), 14, 44.02, 14.000, 0.00000]
[RD Steede (BMUDA), 11.66, 49.29, 10.000, 0.00000]
[Ashraf Ali (PAK), 17.25, 51.11, 7.667, 0.00000]
[RK Illingworth (ENG), 11.33, 57.14, 6.182, 0.00000]
[Jatinder Singh (OMAN), 13.6, 49.63, 13.600, 0.00000]
[Junaid Khan (PAK), 4.85, 53.54, 2.194, 0.00000]
[SO Ngoche (KENYA), 7.55, 57.14, 5.667, 0.00000]
[M Sheikh (KENYA), 6.8, 55.28, 4.533, 0.00000]
[SG Davies (ZIM), 16.75, 38.72, 16.750, 0.00000]
[Junaid Siddiqui (CAN), 13.4, 46.52, 8.375, 0.00000]
[N Madziva (ZIM), 7.44, 48.55, 5.583, 0.00000]
[HJC Mol (NL), 8.37, 36.61, 7.444, 0.00000]
[Nadeem Ahmed (HKG), 5.58, 44.37, 4.188, 0.00000]
[Shapoor Zadran (AFG), 6.7, 41.87, 2.481, 0.00000]
[Waqas Khan (HKG), 16.75, 48.9, 13.400, 0.00000]
[PR Adams (SA), 16.5, 53.22, 7.333, 0.00000]
[RJ Bright (AUS), 16.5, 54.09, 8.250, 0.00000]
[Sharafuddin Ashraf (AFG), 9.42, 66, 6.600, 0.00000]
[OO Bascome (BMUDA), 10.83, 44.82, 10.833, 0.00000]
[RD King (WI), 7.22, 32.01, 2.826, 0.00000]
[RG Petrie (NZ), 13, 59.63, 8.125, 0.00000]
[Saeed Azad (PAK), 16.25, 49.61, 16.250, 0.00000]
[H Osinde (CAN), 4.26, 49.23, 2.286, 0.00000]
[KF Semple (WI), 10.66, 38.78, 10.667, 0.00000]
[RO Hussain (SCOT), 9, 44.05, 7.875, 0.00000]
[MQ Sheikh (SCOT), 10.5, 45, 9.000, 0.00000]
[SD Anurasiri (SL), 10.33, 43.35, 3.444, 0.00000]
[CE Cuffy (WI), 4.42, 49.6, 2.818, 0.00000]
[LH Ferguson (NZ), 7.75, 49.6, 4.133, 0.00000]
[Azhar Saeed (UAE), 8.71, 31.28, 8.714, 0.00000]
[MN Hart (NZ), 7.62, 60.39, 7.625, 0.00000]
[EO Odumbe (KENYA), 10.16, 40.66, 8.714, 0.00000]
[ELR Stewart (SA), 15.25, 52.58, 10.167, 0.00000]
[GE Bradburn (NZ), 8.57, 46.15, 6.000, 0.00000]
[JJ Celestine (BMUDA), 7.5, 44.44, 7.500, 0.00000]
[JA Jameson (ENG), 20, 37.97, 20.000, 0.00000]
[NC McGarrell (WI), 7.5, 61.22, 6.000, 0.00000]
[WD Balaji Rao (CAN), 7.37, 66.29, 7.375, 0.00000]
[Gazi Ashraf (BDESH), 8.42, 24.68, 8.429, 0.00000]
[MA Parker (SCOT), 9.83, 56.73, 7.375, 0.00000]
[Imran Haider (UAE), 8.28, 42.64, 4.143, 0.00000]
[TMK Mawoyo (ZIM), 8.28, 36.25, 8.286, 0.00000]
[D Murphy (SCOT), 11.6, 49.15, 8.286, 0.00000]
[M van Schoor (NAM), 14.5, 52.25, 11.600, 0.00000]
[B Yardley (AUS), 14.5, 59.18, 14.500, 0.00000]
[Ehsanul Haque (BDESH), 9.5, 44.18, 9.500, 0.00000]
[Frasat Ali (EAf), 19, 32.38, 19.000, 0.00000]
[G Salmond (SCOT), 11.4, 52.29, 11.400, 0.00000]
[JK Lever (ENG), 8, 36.84, 5.091, 0.00000]
[NM Odhiambo (KENYA), 9.33, 46.28, 9.333, 0.00000]
[LL Tsotsobe (SA), 7, 51.37, 2.667, 0.00000]
[MW Douglas (NZ), 9.16, 44.71, 9.167, 0.00000]
[TV Mufambisi (ZIM), 9.16, 61.11, 9.167, 0.00000]
[EC Rainsford (ZIM), 5.5, 41.04, 2.391, 0.00000]
[Abdul Shakoor (UAE), 18, 52.94, 18.000, 0.00000]
[Arshad Ali (UAE), 13.5, 52.94, 13.500, 0.00000]
[RD Jackman (ENG), 6.75, 58.06, 6.000, 0.00000]
[RWT Key (ENG), 10.8, 40, 10.800, 0.00000]
[BJ McKechnie (NZ), 13.5, 37.24, 6.750, 0.00000]
[RK Sethi (EAf), 18, 29.18, 18.000, 0.00000]
[S Venkataraghavan (INDIA), 10.8, 42.85, 6.000, 0.00000]
[Ghulam Ali (PAK), 17.66, 43.8, 17.667, 0.00000]
[Mafizur Rahman (BDESH), 17.66, 50.96, 13.250, 0.00000]
[Manjural Islam (BDESH), 5.88, 39.55, 2.409, 0.00000]
[WP Masakadza (ZIM), 5.88, 42.4, 5.300, 0.00000]
[Mohammad Sharif (BDESH), 13.25, 51.96, 5.889, 0.00000]
[RAP Nissanka (SL), 6.62, 37.85, 4.077, 0.00000]
[DL Underwood (ENG), 5.88, 39.84, 4.077, 0.00000]
[CAK Walton (WI), 6.62, 61.62, 6.625, 0.00000]
[JE Brinkley (SCOT), 10.4, 44.06, 10.400, 0.00000]
[N Pokana (PNG), 10.4, 49.05, 5.778, 0.00000]
[Zahoor Khan (UAE), 5.77, 67.53, 4.000, 0.00000]
[AH Gray (WI), 8.5, 66.23, 4.636, 0.00000]
[CA Pujara (INDIA), 10.2, 39.23, 10.200, 0.00000]
[BS Sandhu (INDIA), 12.75, 52.57, 7.286, 0.00000]
[NE Clarke (NL), 10, 44.64, 10.000, 0.00000]
[JG Heron (ZIM), 8.33, 30.67, 8.333, 0.00000]
[PA Horne (NZ), 12.5, 40.98, 12.500, 0.00000]
[D Ravu (PNG), 12.5, 63.29, 7.143, 0.00000]
[IM Stanger (SCOT), 10, 33.33, 10.000, 0.00000]
[CT Tremlett (ENG), 7.14, 56.17, 4.545, 0.00000]
[Zeeshan Siddiqi (CAN), 25, 45.04, 25.000, 0.00000]
[DJ Gandhi (INDIA), 16.33, 50.51, 16.333, 0.00000]
[Maninder Singh (INDIA), 12.25, 54.44, 2.722, 0.00000]
[E Otieno (KENYA), 4.9, 36.02, 2.882, 0.00000]
[D Ranatunga (SL), 12.25, 31.41, 12.250, 0.00000]
[BA Reid (AUS), 3.76, 41.88, 2.333, 0.00000]
[KEA Upashantha (SL), 7, 56.97, 6.125, 0.00000]
